OBS,VNM_CAN_A,VNM_CANOTH_A,VNM_CANRATIO_A,VNM_CLIMLOSS_A,VNM_CMUD_A,VNM_CO2_A,VNM_COALC_A,VNM_CTAX_A,VNM_CTAXR_A,VNM_CXS_A,VNM_CXUD_A,VNM_DEP_A,VNM_EC_A,VNM_EFEX_A,VNM_EFF_A,VNM_ENAB_A,VNM_EXP_A,VNM_EXPE_A,VNM_EXPEB_A,VNM_EXPH_A,VNM_EXPHB_A,VNM_EXPSP_A,VNM_EXPSPB_A,VNM_EXR_A,VNM_FINC_A,VNM_GASC_A,VNM_GCARB_A,VNM_GCARBB_A,VNM_GCARBR_A,VNM_GCARBRB_A,VNM_GCOM_A,VNM_GCR_A,VNM_GDFXSH_A,VNM_GDI_A,VNM_GDN_A,VNM_GDNRATIO_A,VNM_GINI_DISP_A,VNM_GINT_A,VNM_GIP_A,VNM_GLN_A,VNM_GLNRATIO_A,VNM_GLNT_A,VNM_GOTH_A,VNM_GTRADE_A,VNM_GTRADER_A,VNM_HEAD19_A,VNM_HEAD55_A,VNM_HIC_A,VNM_IGR_A,VNM_INFT_A,VNM_INT_A,VNM_IPR_A,VNM_ITAX_A,VNM_ITAXR_A,VNM_ITR_A,VNM_K_A,VNM_LABSH_A,VNM_LFN_A,VNM_LIVES_A,VNM_LNN_A,VNM_LNNF_A,VNM_LOCK_A,VNM_LRX_A,VNM_LTI_A,VNM_MTD_A,VNM_MTN$_A,VNM_MTN_A,VNM_MTR$_A,VNM_MTR_A,VNM_OGC_A,VNM_OGI_A,VNM_OILC_A,VNM_OMS_A,VNM_OXS_A,VNM_PC_A,VNM_PCR_A,VNM_PE_A,VNM_PG_A,VNM_PM25_A,VNM_POIL_A,VNM_POPT_A,VNM_POPWA_A,VNM_PR_A,VNM_PREM_A,VNM_PROF_A,VNM_RC_A,VNM_REFEX_A,VNM_REL_RED_A,VNM_REMIT_A,VNM_REV_A,VNM_REVG_A,VNM_RPDI_A,VNM_SCR_A,VNM_SDLI_A,VNM_SHAREE_A,VNM_SHAREH_A,VNM_SHARESP_A,VNM_SHAREX_A,VNM_SOLV_A,VNM_TAX_A,VNM_TAXR_A,VNM_TECHL_A,VNM_TFP_A,VNM_URX_A,VNM_URXF_A,VNM_USER_A,VNM_WDR_A,VNM_XTD$_A,VNM_XTDNO$_A,VNM_XTN$_A,VNM_XTN_A,VNM_XTR$_A,VNM_XTR_A,VNM_YBAR_A,VNM_YED_A,VNM_YEN$_A,VNM_YEN_A,VNM_YER$_A,VNM_YER_A,VNM_YFT$_A,VNM_YFT_A
2034,0.000684766049714,-0.000001026167936,0.000000072685140,0.626290264046647,0.000000434128228,-0.000040414106494,-0.000003300000000,0.030463999956980,0.000000000000000,0.000000000000000,-0.000000627421565,0.000000053418741,-0.004185770590210,0.000000355453993,0.015380800000000,0.000000000000000,-2.569999999305480,-2778.988152519750000,7004.820000000000000,-21543.591263425400000,54304.299999999900000,-43140.389521114600000,115532.000000000000000,-0.003442074999234,0.000000000000001,-0.138644976756439,-5664.322498355920000,-707.349999999999000,0.000000000000000,0.000000000000000,-0.200930456577114,-5036.274603804660000,-0.002424831003820,-6.953573609166510,-53857.334828754700000,0.000018698020063,0.000000455586438,0.000001200000000,-0.528318210794248,-1.399999999975720,-0.000000893220594,0.000000450000000,76155.599999999900000,-1.524487000013630,0.000000000000000,-0.000000228064356,-0.000008103281106,-0.002240828290309,5039.397760335150000,0.000000200000000,0.000000000000000,0.005037555207970,-2.394123391726240,0.000000000000000,0.000000000035820,11.607298000325200,0.000000000000000,0.002313360004404,-0.006979396637306,-0.018786423223987,0.000001259464130,0.000000000000000,-0.002803692162730,0.000000000000000,0.000000272924720,0.000602818511767,-25.701640004163900,-0.002769714013071,0.004847602397575,36432.761964428200000,0.048640344089797,-0.064515288606774,-0.000064914843353,0.000000000000000,-0.000004864419624,-0.008583475268863,0.000012585066823,-0.000002246916520,-0.009432017291579,-0.000014136802628,391.598750499995000,-69.242042731086600,-0.000000542954104,-0.000606705599286,2.659081699439040,-0.048578612494481,0.000000569053877,3.842718542322670,-0.475006224862966,-1.273999999833970,-0.003140993009152,-1.950613045977560,11323.506657640200000,-0.000000073358189,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-3.533422928114870,0.000779200000000,0.011333221970675,-0.000000505856100,0.000000754875652,0.000003186926221,0.036986245215561,-0.002003109992128,0.000000348856010,0.000375625190068,0.001465757151193,3.751484129150670,0.000495614333091,0.004369854118639,-0.000000093777277,-0.000002176694918,0.000935636717590,-31.006650002553600,0.000548832052006,21.300000001517600,-0.000571964980258,0.000404667287387
2035,0.000455058487902,0.000001237628848,0.000000834605670,0.628172037077541,0.000000705329583,-0.000095041297334,0.000001399999999,0.268352000097039,0.000000000000000,0.000000000000000,0.000000240892694,-0.000000307538524,-0.004253561102737,0.000000452364880,0.015380800000000,0.000000000000000,1.700000000258130,-2951.287538310920000,7445.509999999990000,-22880.042477082900000,57720.200000000100000,-46038.192579402400000,123142.000000000000000,0.004106016200359,0.000000000000001,-0.138759055987458,-5914.426332467860000,-714.550000000000000,0.000000000000000,0.000000000000000,0.191418415488144,-5200.072332279380000,-0.002304225158992,-16.420173976996000,-54920.997521549200000,0.000046928953017,0.000000213226619,-0.000002400000000,0.500087543559173,0.000000000053730,0.000000560653007,0.000000000000000,80944.000000000000000,-1.980153999984100,0.000000000000000,0.000000248505225,0.000013687960037,-0.002241100830495,5199.389787440450000,-0.000000500000001,0.000000000000000,0.005608921685716,-2.642263645248060,0.000000000000000,-0.999999999999289,-11.779775999837800,0.000000000000000,0.016354900007970,-0.006961399183052,-0.018548272762553,0.000000270963330,0.000000000000000,-0.002931106824535,0.000001000000000,-0.000001835883167,0.000492033362890,49.754000000736300,-0.000322410057241,0.002955799112201,38793.634208416900000,0.047850746801932,-0.064587413224459,-0.000058160982999,0.000000000000000,0.000004836276335,-0.008749424414615,0.000000658119932,0.000021394928492,-0.009681067684079,-0.000009598330948,365.999782000015000,-69.425982343135200,0.000000374000773,-0.000098454101816,-6.424548801387210,-0.048702765617849,-0.000000014431325,3.839966847095880,0.052039130915362,0.034000000018215,0.000439402027195,0.569851944131460,10562.363153766600000,-0.000000673358190,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-3.629764734286580,0.000721300000000,0.011764189531517,0.000000450092300,-0.000020797717645,0.000001640986303,0.035603688269850,-0.000781764861324,0.000000890654733,0.000377512558539,0.000941948422441,23.079876654687100,0.000324990830564,0.004206577781723,-0.000002164837272,0.000000751863990,0.000745143231476,-52.313720004547900,-0.000297794380548,15.700000003549600,0.000355604815469,0.000399383042226
2036,-0.000142383244358,0.000000147085192,-0.000001786229108,0.628417505827401,0.000000682624411,-0.000182790454043,-0.000001100000000,-1.787359999983560,0.000000000000000,0.000000000000000,0.000000977823734,0.000000345529122,-0.004221830855005,0.000000398756236,0.015381300000000,0.000000000000000,3.200000000321540,-3127.893173787700000,7742.200000000000000,-24247.074897113000000,60022.100000000000000,-49105.225988932000000,131772.000000000000000,-0.002242271502198,0.000000000000001,-0.139457604791593,-6162.511840960640000,-708.810000000003000,0.000000000000000,0.000000000000000,-0.412458402453605,-5186.341775120210000,-0.002189477753069,-11.232062520696800,-55944.392099747200000,-0.000026707386043,-0.000000125825953,0.000002600000000,0.175813532060381,0.400000000018371,0.000002959670078,-0.000000300000000,84175.000000000000000,-2.024094999994690,0.000000000000000,-0.000000127319963,0.000000711680905,-0.002193633238213,5189.605393626990000,0.000000100000000,0.000000000000000,0.005609252350084,-2.425406208660170,0.000000000000000,0.000000000035820,25.416000001173700,0.000000000000000,0.008160451995863,-0.006685030835683,-0.018334464179407,0.000000652961810,0.000000000000000,-0.003059484883821,-0.000001999999999,0.000001381456007,0.000911459231124,-8.177600000815180,-0.001984375119361,0.001845323537594,39603.088156099200000,0.045574080392207,-0.065254547625237,-0.000051574712459,0.000000000000000,-0.000008347052667,-0.009620990641285,-0.000002780560584,-0.000058199930525,-0.009956541862986,0.000006167215098,341.800745100003000,-181.675088502778000,0.000003038132108,-0.000143017896396,14.692205798413800,-0.049439387630907,0.000000444352000,3.828401278365740,0.325104478044168,1.191999999614710,-0.000458887547963,-9.080222304592700,9565.513064762850000,-0.000000386166991,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-4.037527503774300,0.000667300000000,0.012112904655460,-0.000000166351300,-0.000018746105134,0.000001075461475,0.034173922450872,-0.000397333424309,0.000000006682928,0.000376669994999,0.000833094408668,26.469269368840400,-0.000128605155576,0.003596507492155,0.000000221265902,0.000000414825318,0.001284646354165,-83.398799997910000,0.000335318806606,13.500000000489600,-0.000194355206279,0.000380137287822
2037,0.000911426467139,0.000003188468057,-0.000006998508759,0.630344868301369,0.000001521231214,-0.000217876500979,-0.000000999999999,-1.327168000232060,0.000000000000000,0.000000000000000,0.000002572574322,-0.000000181988820,-0.003913376251798,0.000000376516681,0.015380000000000,0.000000000000000,-2.400000000304120,-3314.847783926850000,8291.400000000010000,-25697.082050341600000,64277.799999999900000,-52367.001455309900000,141637.000000000000000,-0.004661451501681,0.000000000000001,-0.138705073151338,-6413.059347582150000,-715.890000000001000,0.000000000000000,0.000000000000000,0.239647120758276,-5439.487435902560000,-0.002080450690345,8.573378954779840,-56979.304477525600000,-0.000009213321521,-0.000000755586675,-0.000002000000000,-0.094984477139197,0.199999999925248,0.000001547588537,0.000000300000000,90140.000000000000000,-2.132488000025470,0.000000000000000,-0.000000064520930,-0.000007161336126,-0.001930198482598,5431.434505276410000,0.000000650000000,0.000000000000000,0.004458645556012,-2.976898037784480,0.000000000000000,0.999999999839280,-6.358676002398220,0.000000000000000,0.011598845996497,-0.006687876926588,-0.017639235857645,-0.000001026554435,0.000000000000000,-0.003185187628739,0.000001999999999,-0.000001704414345,0.000220311785348,30.434670001317700,-0.001786531895487,-0.000017997056634,42431.969849209300000,0.045615915438096,-0.064476917617354,-0.000035617213872,0.000000000000000,0.000006763421425,-0.009530645675356,0.000000409397700,-0.000019143726437,-0.010217441226518,0.000028012335182,318.101641299990000,-182.254308142719000,0.000000770981817,-0.000445176227378,10.257019698991800,-0.048741467034558,0.000000980285488,3.815065081478800,-0.837070343034702,0.543999999674150,0.002278605444597,-13.628917632437400,8964.911177242670000,0.000000383945384,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-4.314151357026020,0.000651200000000,0.012386592120042,-0.000000587518300,-0.000020606223635,-0.000006146592868,0.032904301922628,-0.001399420288821,-0.000000578940400,0.000381039903629,0.001004817165938,-11.917422034182000,-0.000934593228030,0.003629696363345,0.000000777071431,-0.000005190011772,0.000135646219847,-9.044140000559140,0.000251337400162,-2.999999999956950,-0.000135717668351,0.000377025031906
2038,-0.000120774415313,-0.000006950150919,0.000001640207609,0.632092621934031,0.000001436198283,-0.000252025884500,0.000000700000001,0.400288000085277,0.000000000000000,0.000000000000000,-0.000002120765194,0.000000041818212,-0.003741134356971,0.000000400237566,0.015381000000000,0.000000000000000,0.600000000462362,-3511.512917663880000,8785.699999999990000,-27223.864451080600000,68111.400000000000000,-55813.121745163800000,150767.000000000000000,-0.003596576699547,0.000000000000001,-0.138756143271589,-6665.730349813040000,-721.900000000003000,0.000000000000000,0.000000000000000,-0.186941261203994,-5599.295198309560000,-0.001976857043299,-4.641679072960150,-58003.766516931100000,0.000029454013279,0.000000164880612,0.000000200000000,0.049602642981037,1.000000000004210,-0.000003514865328,0.000000200000000,95519.000000000000000,-2.319594000051160,0.000000000000000,0.000000183648142,0.000004683165620,-0.001911481630856,5601.748250984620000,0.000000050000000,0.000000000000000,0.005089878504299,-6.909342816619970,0.000000000000000,3.000000000126820,-5.558807999955390,0.000000000000000,0.021433279997345,-0.006656641430925,-0.017484047925273,-0.000000336104780,0.000000000000000,-0.003292870440191,0.000000000000000,0.000001193681285,0.001206290391324,-36.897400000953800,-0.001528539210952,-0.001647667585615,43955.959145227400000,0.044917464410323,-0.064502129752856,-0.000029770645869,0.000000000000000,-0.000012152593223,-0.009652695287597,-0.000013830072302,0.000043573509476,-0.010486318906559,-0.000030703273544,297.102478500006000,-182.701485722098000,-0.000000510328519,-0.000888803728454,6.779112898364540,-0.048841295676472,-0.000000348942656,3.802672995038620,2.481856837583340,-0.851000000416044,0.001524564539961,0.241096466931830,8308.448679178290000,0.000000275405953,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-3.349909267486600,0.000669200000000,0.012592526415222,0.000000154045200,0.000020417059528,0.000001862613694,0.031661291901873,-0.000728470263960,-0.000000048304377,0.000382339442380,0.001994838414597,-4.694245805259430,-0.000023370391736,0.003495082306737,-0.000001391747444,-0.000001771108383,0.001564249282848,-26.955280000217700,-0.000322246944027,10.799999997411500,-0.000486061293576,0.000372071121333
2039,0.000369025812007,0.000004436689667,-0.000016025469412,0.633844688705264,0.000000499039172,-0.000282002344555,-0.000000900000001,-0.090144000066392,0.000000000000000,0.000000000000000,-0.000001775847340,-0.000000230162904,-0.003620941135417,0.000000313378039,0.015381000000000,0.000000000000000,-2.199999999178080,-3718.076723367240000,9307.999999999990000,-28823.853827238100000,72159.400000000000000,-59439.613228323800000,160464.000000000000000,0.001578270898680,0.000000000000001,-0.138741904398077,-6920.429175363490000,-727.710000000001000,0.000000000000000,0.000000000000000,0.238541784023963,-5771.971579976710000,-0.001878435609987,10.787528187427800,-58958.453618466600000,-0.000034934281851,-0.000000125826717,0.000002200000000,0.384674923024073,-1.000000000067170,-0.000000792246965,-0.000000650000000,101193.000000000000000,-2.315950999960220,0.000000000000000,-0.000000054761048,-0.000003863458056,-0.001887103245350,5772.215139523880000,-0.000000550000000,0.000000000000000,0.005499809293031,-8.324447631005410,0.000000000000000,2.000000000084550,-13.912040002752600,0.000000000000000,-0.014744309001731,-0.006620808094999,-0.017285247949946,0.000000881993294,0.000000000000000,-0.003399988876728,-0.000003000000000,-0.000001390607998,0.000903244269911,17.654190000786900,-0.001442988379567,-0.003256081361402,46044.725802982500000,0.044279930179284,-0.064468969629689,-0.000024385851561,0.000000000000000,0.000003818297246,-0.009783233120993,-0.000014877534371,0.000002267537898,-0.010763374319671,0.000043709758305,279.403265600006000,-183.209248910532000,-0.000001399067469,-0.000321529050187,-6.267529604072910,-0.048891575769994,-0.000000610575121,3.791024171680130,-0.944061813244476,0.983999999081892,-0.000697426750969,5.693242183418070,7786.422873358040000,0.000000462596718,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-3.982860088094430,0.000656900000000,0.012767320324756,-0.000000240587300,-0.000016559915566,0.000003353652304,0.030486546243475,-0.001500182799831,0.000000674020986,0.000386404182845,0.000543227079925,-49.001121261997900,-0.000588726794003,0.003377494465573,-0.000000210776338,-0.000000772098280,0.000074922441191,-26.010780000931400,0.000461485470283,-8.700000003682280,0.000309053153956,0.000365169868137
2040,-0.000051983766871,-0.000003505213471,0.000019050144667,0.635610274689030,0.000000678392188,-0.000301215722804,0.000001300000000,-1.074784000238830,0.000000000000000,0.000000000000000,0.000000720407145,0.000000112966412,-0.003530287231202,0.000000281762827,0.015381000000000,0.000000000000000,-1.399999999977630,-3935.114432827100000,9859.200000000020000,-30504.103638748000000,76433.000000000000000,-63262.648620910400000,170761.000000000000000,0.002288353200195,0.000000000000001,-0.138592831140288,-7178.032084381930000,-735.990000000003000,0.000000000000000,0.000000000000000,0.004287130374120,-5954.598210493550000,-0.001784864722596,-20.460340834516900,-59966.702855879200000,0.000030688247498,0.000000164880994,-0.000002400000000,-0.774518008875757,1.000000000004210,0.000000898728584,0.000000350000000,107189.000000000000000,-2.784144000023830,0.000000000000000,0.000000138491341,0.000002089890318,-0.001860171121093,5955.728458868140000,0.000000350000001,0.000000000000000,0.005960978159320,-11.164776401410300,0.000000000000000,-0.999999999669390,-1.118672995320020,0.000000000000000,-0.011740495988483,-0.006584040776608,-0.017095937303443,-0.000000508797410,0.000000000000000,-0.003506184118571,0.000002000000000,0.000000831394357,0.001738138921364,-3.098960002845400,-0.001024407637791,-0.004847158744616,48479.223685549600000,0.043695815719318,-0.064310209557608,-0.000019188191255,0.000000000000000,0.000005315886947,-0.009907520179427,0.000005363097831,-0.000053867919262,-0.011042935692329,-0.000064308879742,264.004009300000000,-183.651921496354000,0.000001136640698,-0.000197360289495,9.605285499593300,-0.048812436940207,0.000000484578833,3.779972150373120,-1.104317569474310,0.250000000157739,-0.000990404967715,-0.621740551395610,7306.031720314420000,0.000000154057167,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-5.821538850775300,0.000633500000000,0.012909508798714,-0.000000637581500,0.000020233053203,-0.000002064219387,0.029324319618444,0.000978111555913,-0.000000339441304,0.000387024580716,0.002484304572311,7.284287295406060,0.000713796048323,0.003266621793743,-0.000001149667537,-0.000001933091992,0.002539158690472,-28.929600002121100,-0.000367537766100,-3.800000002005090,0.000028854960768,0.000360756250226
2041,0.000302334774376,0.000000614355299,0.000011799425950,0.635596167153286,0.000001705889305,-0.000352654867544,-0.000000600000001,0.846943999877042,0.000000000000000,0.000000000000000,0.000000339439901,-0.000000055383742,-0.003233108701598,0.000000258652280,0.015381000000000,0.000000000000000,-0.500000000145668,-4158.043675766260000,10243.700000000000000,-32232.331049038400000,79413.000000000000000,-67317.740073998900000,182259.000000000000000,0.002065579796241,0.000000000000001,-0.139256539803406,-7433.074952635620000,-728.710000000000000,0.000000000000000,0.000000000000000,0.245799623368549,-5953.509433084490000,-0.001695929608314,-8.445150793329790,-60872.219597974600000,-0.000015760648965,0.000000513856933,0.000000800000000,0.338855879609968,1.000000000004210,0.000000438251762,-0.000000400000000,111367.000000000000000,-2.704936999992650,0.000000000000000,-0.000000073796620,0.000001286133914,-0.001613524605463,5956.390596743010000,-0.000000400000000,0.000000000000000,0.005921758641541,-6.229863546355720,0.000000000000000,0.999999999839280,5.352223999188810,0.000000000000000,-0.010035095990052,-0.006263590640111,-0.016922026449345,-0.000000179370507,0.000000000000000,-0.003611444510714,0.000000000000001,0.000000781018961,0.000901896503582,-33.407549997675900,-0.001532125729525,-0.005028282579994,49224.002706408300000,0.041879279204841,-0.064966362763594,-0.000015615262440,0.000000000000000,0.000007619619174,-0.010618669389139,0.000000125092727,0.000048671094836,-0.011355111730484,0.000027996790184,250.004713599993000,-276.056682554851000,0.000001019325835,-0.000182673615175,6.229004296696150,-0.049561784586611,0.000000046656302,3.759048773425510,-0.671383396322501,-3.642000000907960,0.000964322809058,19.635308959302200,6610.459456193490000,-0.000000058752250,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-3.913201503666770,0.000605900000000,0.012987067139152,0.000000930516500,0.000025539285057,-0.000001473575646,0.028207148259646,-0.000774083752469,-0.000001164671746,0.000390642392444,0.002005612567204,46.765397138969400,0.000659621655360,0.002570912038894,0.000001223751001,0.000000948740569,0.002125293776727,-56.421260001059400,-0.000066845788482,23.700000003839800,-0.000211762701927,0.000343615134823
2042,0.000531730742297,0.000002767263220,0.000005062987219,0.637576511389055,0.000000767211318,-0.000371828622835,-0.000000800000001,-0.776544000088342,0.000000000000000,0.000000000000000,0.000000255676038,0.000000151726071,-0.002928497319637,0.000000312841510,0.015380000000000,0.000000000000000,3.699999999555790,-4394.114249902980000,10922.700000000000000,-34064.465243040900000,84678.000000000000000,-71629.912700739700000,195360.000000000000000,-0.005522643700047,0.000000000000001,-0.138604662456505,-7689.773592370520000,-733.450000000002000,0.000000000000000,0.000000000000000,-0.241915357300927,-6219.338605023670000,-0.001611351592569,2.419978369129680,-61822.294836206100000,0.000004196732334,0.000000252283977,0.000002000000000,-0.723201904395476,1.999999999957680,-0.000001984499934,0.000000000000000,118751.000000000000000,-2.858642000054310,0.000000000000000,-0.000000027392213,-0.000001401634924,-0.001464845497222,6216.453896569350000,0.000000150000000,0.000000000000000,0.005073452084137,-7.501806383560890,0.000000000000000,0.000000000214920,13.348578995436300,0.000000000000000,-0.024393088002428,-0.006277102513639,-0.016222728005852,0.000000339218864,0.000000000000000,-0.003699442099302,-0.000001000000000,-0.000001287237079,0.000150919399388,34.369180001374100,-0.000944805611502,-0.006718772298734,51946.523414653700000,0.041940142143557,-0.064298154399425,0.000005805532538,0.000000000000000,-0.000007521415674,-0.010506293937286,0.000021436269039,-0.000005837880641,-0.011657502122968,-0.000034360546770,236.305378999999000,-276.694784251338000,-0.000002804981911,-0.000246334115591,-8.793740705347020,-0.049022056191900,-0.000000008715552,3.737228819218530,-0.098810107961886,1.802000001149060,0.001424961220876,1.378096340002660,6207.690922460580000,0.000000119898481,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-5.946708156139990,0.000616600000000,0.013087271936784,0.000000563492000,0.000021693828441,0.000002805572649,0.027159933788056,-0.002240399644544,0.000002332379028,0.000391577198277,0.002008196163119,-1.982250170696140,-0.000235581540640,0.002723106592564,0.000001888719367,-0.000002282124615,0.001187520202608,-36.421120004617500,0.000145548526447,9.299999995960730,0.000080471740964,0.000342333407256
2043,0.000061597273712,-0.000000508670010,-0.000020864150367,0.639188461712853,0.000000574013492,-0.000390674949147,-0.000000799999999,-1.376128000270150,0.000000000000000,0.000000000000000,0.000001416101820,0.000000025003142,-0.002735021189133,0.000000285488422,0.015381000000000,0.000000000000000,14.600000002019600,-4642.064649800790000,11534.400000000000000,-35986.692418310200000,89420.000000000000000,-76181.193266293500000,207510.000000000000000,0.004468073202718,0.000000000000001,-0.138639087294388,-7947.706995587190000,-736.960000000001000,0.000000000000000,0.000000000000000,0.222728396355699,-6390.572798893420000,-0.001531117652952,-34.015019183863700,-62725.580730164200000,0.000027737228108,0.000000300630952,-0.000003400000000,0.443822543480571,10.999999999986100,-0.000000299279694,0.000000300000000,125399.000000000000000,-3.048784000030940,0.000000000000000,-0.000000012907080,-0.000001047253185,-0.001437427483896,6394.060371638310000,0.000000350000001,0.000000000000000,0.005641362296303,-12.389092580229700,0.000000000000000,-0.999999999669390,12.662464997220500,0.000000000000000,-0.017159633992563,-0.006233444884836,-0.016157808987147,-0.000000426791940,0.000000000000000,-0.003777912585793,0.000001000000000,0.000000847290139,0.001102609224733,-35.522100003323900,-0.002068094746375,-0.007909991286404,53322.730694954500000,0.041366089273306,-0.064309978401367,0.000007669965160,0.000000000000000,0.000010858648203,-0.010669087304394,0.000012256462000,0.000005463598027,-0.011969282328280,-0.000010414110683,222.206004900015000,-277.202123647169000,0.000001442115752,-0.000531975369346,14.459883098083700,-0.049126697259688,0.000001796850241,3.715870484766290,-0.912563462575644,2.412000000578800,-0.001776068115375,13.702623056744800,5809.474536011430000,0.000000007088774,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-4.822574056669410,0.000643700000000,0.013193899286565,-0.000000138440300,0.000023534750462,-0.000001682510259,0.026149639627194,0.001307579298086,-0.000000486508318,0.000396275777983,0.003124303215080,19.944471431487600,0.000003975630990,0.002612308254748,-0.000002043881781,-0.000002368666407,0.000504574495069,-55.709440002138300,-0.000070277173180,15.200000003531500,0.000715415454230,0.000334618356941
2044,-0.000460189728732,-0.000001681512285,-0.000016893779696,0.640779212667306,0.000001337341272,-0.000407505439584,0.000002700000000,-0.239167999922950,0.000000000000000,0.000000000000000,0.000000377022214,-0.000000033263910,-0.002593941051054,0.000000351878333,0.015381000000000,0.000000000000000,10.099999999993800,-4902.005402175180000,12173.900000000000000,-38002.856221868000000,94377.000000000000000,-80975.202508092400000,220228.000000000000000,-0.002305245803017,0.000000000000001,-0.138635611662648,-8206.656687145780000,-739.860000000002000,0.000000000000000,0.000000000000000,-0.490234059338583,-6576.544632413520000,-0.001454735595340,2.973693490154090,-63577.990359140300000,-0.000003539356578,0.000000223151615,0.000001600000000,0.605224482950510,-2.000000000020630,0.000001470935895,-0.000000100000000,132353.000000000000000,-3.297455999981590,0.000000000000000,0.000000020728688,0.000001513573005,-0.001403865185890,6573.147924507540000,-0.000000300000000,0.000000000000000,0.006008308292584,-13.286686495225400,0.000000000000000,0.000000000214920,-9.578565004966080,0.000000000000000,-0.003992729992526,-0.006192479199141,-0.015985779486177,-0.000000213649744,0.000000000000000,-0.003855689611480,0.000001000000000,-0.000001144239696,0.002386619846625,-0.521070003743204,-0.001602009093701,-0.009061767935077,55405.251561154400000,0.040812833534879,-0.064287065592683,0.000012842708209,0.000000000000000,-0.000025148149215,-0.010801035061145,0.000000561825761,-0.000002527622334,-0.012291598996420,0.000034297019795,207.406588899991000,-277.777205301993000,0.000000294334171,-0.000472036139091,6.670731096700160,-0.049200709372653,0.000001752806827,3.695033602953540,1.098097809595030,5.460999999639380,0.002243189232169,24.887546032707500,5469.579651571040000,-0.000000009991003,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-5.452243155541160,0.000639900000000,0.013250721496691,0.000000124934300,0.000036712300500,0.000000325162536,0.025186547422752,0.000403412802303,-0.000000004598745,0.000400942042099,0.000319627634500,-43.254373239253500,-0.001317397254484,0.002510339016984,0.000001489898881,-0.000002489301108,0.001147816840090,-13.665219999986400,0.000423076272001,-21.600000000723200,-0.000594021774954,0.000332695723675
2045,-0.000043481596497,0.000001303468790,-0.000001660915547,0.642361590508913,-0.000000593829876,-0.000418520472647,-0.000001200000000,-1.641983999770260,0.000000000000000,0.000000000000000,0.000001850762627,0.000000049446991,-0.002513104113966,0.000000410057111,0.015381000000000,0.000000000000000,-0.199999998387568,-5175.005665660970000,12844.400000000000000,-40117.288626400100000,99576.000000000000000,-86030.288864239600000,233566.000000000000000,0.000109829797722,0.000000000000001,-0.138527736650211,-8467.299347460790000,-744.680000000002000,0.000000000000000,0.000000000000000,0.263896099172086,-6757.889620032960000,-0.001382223350061,-6.294419457249300,-64427.653185820000000,0.000000949680839,0.000000513861757,0.000001000000000,-0.313899402051000,-3.999999999997830,-0.000001601393691,-0.000000100000000,139643.000000000000000,-3.726024000067330,0.000000000000000,-0.000000040478494,-0.000002322788745,-0.001370764571628,6755.412307489470000,-0.000000100000000,0.000000000000000,0.006387189176432,-13.796441258675300,0.000000000000000,3.000000000126820,2.377076000075690,0.000000000000000,-0.028888966001022,-0.006156172794104,-0.015817195828575,0.000001130206614,0.000000000000000,-0.003930979861086,-0.000000999999999,0.000001873138456,0.000272798135666,-27.172419996806300,-0.002083961417709,-0.010177962645754,57857.697159932700000,0.040286408361107,-0.064162814627778,0.000017694427861,0.000000000000000,0.000021192644855,-0.010919434533070,-0.000028351190223,0.000004412944982,-0.012621045779614,0.000037370619840,191.607128600009000,-278.211193039815000,0.000000309545151,-0.000027805580136,13.794665195548200,-0.049173135808464,0.000000925628397,3.674706311015600,0.831900454362633,4.905999999892270,-0.003679399038382,10.280045900866700,5152.969762945550000,-0.000000122800963,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-4.600807749654320,0.000624800000000,0.013296718894018,-0.000000079145000,0.000020877591027,-0.000000256393151,0.024252107057345,0.000519339200678,0.000001283047043,0.000404502530721,0.001367871903525,-89.359725841433400,0.000137715276637,0.002409747278851,-0.000002873258578,0.000000501411656,0.001204738666943,-85.398599998235200,-0.000097083669358,-3.799999998279800,-0.000111476233610,0.000326886994153
